day,local cap,cloud cap,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
rock burst,local 16,cloud 60,202,5901,5901,89.7,358.9,39.24,4562.3,22294.2,0,186,0,3086,75,0,95.9,614.3,1239.4,,115.7,877.1,18562.7,46922.2,16593.8,0,0,0,0,0
rock burst,local 16,cloud 60,303,5728,5728,95.2,359.0,34.94,4070.7,22239.7,0,177,0,3103,76,1,86.8,520.9,976.4,976.4,119.1,859.5,13116.5,30517.5,14764.4,0,0,0,0,0
rock burst,local 16,cloud 60,404,5499,5499,88.2,353.6,36.25,4383.7,22266.2,0,173,0,3001,63,0,63.8,160.2,539.6,,113.4,792.1,14714.1,22952.9,15851.7,0,0,0,0,0
rock burst,local 16,cloud 200,101,2264,2264,95.5,340.4,27.36,2442.7,16025.8,0,31,0,2986,57,0,55.0,143.1,329.7,,57.3,188.6,9373.9,16967.8,9023.2,0,0,0,0,0
rock burst,local 16,cloud 200,202,2065,2065,99.6,349.0,29.62,2369.5,15111.6,0,30,0,3086,75,0,49.9,182.9,344.3,,54.3,182.6,9511.1,16026.4,8737.9,0,0,0,0,0
rock burst,local 16,cloud 200,303,2520,2520,105.0,349.2,24.9,2232.9,14899.5,0,34,0,3103,76,1,58.2,194.1,361.4,361.4,58.7,191.0,7419.9,16412.4,8134.8,0,0,0,0,0
rock burst,local 16,cloud 200,404,2230,2230,97.7,344.1,27.03,2452.3,15460.9,0,29,0,3001,63,0,53.8,144.6,329.6,,57.2,187.2,9155.7,16449.1,8929.6,0,0,0,0,0
rock burst,local 24,cloud 0,101,16846,16846,0.0,437.4,48.08,11941.3,73910.2,0,1576,0,2986,57,0,1139.7,5943.8,8171.7,,1331.8,7836.9,36466.8,86200.4,38979.8,0,0,0,0,0
rock burst,local 24,cloud 0,202,16805,16805,0.0,450.9,48.25,11776.1,77227.1,0,1547,0,3086,75,0,636.7,6069.4,7114.3,,1151.3,7057.3,43532.9,86556.9,38843.8,0,0,0,0,0
rock burst,local 24,cloud 0,303,17462,17462,0.0,456.3,48.1,11583.4,68524.3,0,1670,0,3103,76,1,1007.2,7630.9,7764.9,4216.4,1162.2,7172.3,33844.3,86542.5,37865.7,0,0,0,0,0
rock burst,local 24,cloud 0,404,16233,16233,0.0,444.3,47.97,11170.0,62107.9,0,1542,0,3001,63,0,992.7,7115.1,7628.8,,1196.7,7149.3,31094.8,86439.4,36367.7,0,0,0,0,0
rock burst,local 24,cloud 20,101,9309,9309,42.3,395.1,29.33,3697.1,18220.6,0,481,0,2986,57,0,113.4,773.1,2321.7,,334.5,2643.5,11102.6,19217.8,12546.9,0,0,0,0,0
rock burst,local 24,cloud 20,202,8478,8478,41.0,409.9,29.19,3248.4,15897.6,0,438,0,3086,75,0,161.5,1154.3,2664.4,,264.6,2353.2,11090.5,16652.2,11046.7,0,0,0,0,0
rock burst,local 24,cloud 20,303,8354,8354,41.4,415.8,24.85,3172.7,16770.4,0,435,0,3103,76,1,222.2,1887.0,2620.9,1831.4,261.0,2282.0,9397.9,17287.4,10743.3,0,0,0,0,0
rock burst,local 24,cloud 20,404,8132,8132,41.2,403.1,24.64,3179.9,16258.3,0,433,0,3001,63,0,141.9,974.6,2481.0,,265.8,2276.1,9836.2,17181.8,10704.6,0,0,0,0,0
rock burst,local 24,cloud 60,101,5870,5870,51.8,387.2,24.0,2192.5,12862.1,0,164,0,2986,57,0,52.6,136.6,569.7,,109.5,803.9,7516.6,13512.2,7844.5,0,0,0,0,0
rock burst,local 24,cloud 60,202,5378,5378,49.6,403.1,24.01,1894.2,10823.4,0,156,0,3086,75,0,84.9,524.3,1052.9,,96.8,689.0,6541.1,11316.4,6744.1,0,0,0,0,0
rock burst,local 24,cloud 60,303,5233,5233,49.1,412.6,24.03,2029.4,12090.8,0,146,0,3103,76,1,76.0,250.9,856.4,856.4,100.5,727.1,6154.5,12422.9,7208.8,0,0,0,0,0
