day,local cap,holding,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
rock burst,local 12,cloud window 60 min,202,6033,6033,276.3,279.4,24.01,307.0,1769.5,0,200,0,3086,75,0,91.7,614.3,1314.4,,112.5,957.1,518.1,3414.4,764.9,0,0,0,0,0
rock burst,local 12,cloud window 60 min,303,5762,5762,278.8,279.9,24.0,274.8,1334.4,0,186,0,3103,76,1,77.4,625.9,976.4,976.4,110.1,869.3,622.1,3149.1,689.3,0,0,0,0,0
rock burst,local 12,cloud window 60 min,404,5711,5711,285.3,279.6,24.0,295.6,1905.0,0,189,0,3001,63,0,50.7,93.2,576.0,,110.3,901.4,358.8,1360.2,743.1,0,0,0,0,0
rock burst,local 12,cloud lifetime 0,101,7002,7002,119.3,311.0,48.08,8989.0,64295.2,0,210,0,2986,57,0,62.4,181.6,704.7,,145.7,1079.4,32647.4,86056.1,33037.1,0,0,0,0,0
rock burst,local 12,cloud lifetime 0,202,6843,6843,126.7,315.1,48.25,8979.3,69127.1,0,204,0,3086,75,0,108.1,659.3,1344.4,,130.4,986.4,38435.1,86513.2,32931.6,0,0,0,0,0
rock burst,local 12,cloud lifetime 0,303,6495,6495,134.2,311.9,48.1,7809.1,49684.3,0,194,0,3103,76,1,96.9,685.9,1051.4,1051.4,133.2,935.4,25566.7,86497.5,28608.9,0,0,0,0,0
rock burst,local 12,cloud lifetime 0,404,6263,6263,121.8,311.5,48.16,8134.9,51652.9,0,189,0,3001,63,0,71.9,177.7,576.0,,126.2,903.8,26890.5,80336.8,29804.3,0,0,0,0,0
rock burst,local 12,cloud lifetime 30 min,101,6533,6533,162.3,279.5,24.24,3010.0,17367.5,0,210,0,2986,57,0,53.2,153.8,704.7,,139.8,1079.4,10262.1,18059.8,10776.6,0,0,0,0,0
rock burst,local 12,cloud lifetime 30 min,202,6025,6025,173.2,281.5,24.47,2472.4,13926.8,0,200,0,3086,75,0,99.7,614.3,1314.4,,119.8,952.1,8722.9,14957.2,8793.2,0,0,0,0,0
rock burst,local 12,cloud lifetime 30 min,303,6008,6008,200.2,280.1,24.01,2498.8,14871.2,0,194,0,3103,76,1,93.3,685.9,1051.4,1051.4,126.4,940.0,7596.1,15407.4,8834.9,0,0,0,0,0
rock burst,local 12,cloud lifetime 30 min,404,5725,5725,176.9,280.5,24.0,2221.8,13699.9,0,189,0,3001,63,0,61.7,177.7,576.0,,120.0,903.8,7373.4,14613.8,7763.5,0,0,0,0,0
rock burst,local 12,local window 0,101,11980,11980,144.8,273.1,48.4,15033.2,86482.1,0,212,0,2986,57,0,75.8,206.2,719.7,,159.4,1090.1,55966.6,86548.7,55608.7,0,0,0,0,0
rock burst,local 12,local window 0,202,10940,10940,156.3,277.5,48.3,13048.0,86482.5,0,205,0,3086,75,0,117.3,659.3,1344.4,,142.0,986.4,54002.9,86665.5,48091.4,0,0,0,0,0
rock burst,local 12,local window 0,303,9823,9823,166.4,268.5,48.47,11593.0,86464.5,0,196,0,3103,76,1,115.2,700.9,1066.4,1066.4,147.6,955.0,40968.1,86662.5,42594.0,0,0,0,0,0
rock burst,local 12,local window 0,404,10614,10614,148.3,272.8,48.32,14717.9,86485.2,0,190,0,3001,63,0,85.7,190.2,576.0,,138.2,901.4,52642.2,86580.2,53964.0,0,0,0,0,0
rock burst,local 12,local window 60 min,101,6533,6533,125.8,310.7,38.34,5627.2,30034.9,0,210,0,2986,57,0,60.8,158.1,704.7,,143.7,1079.4,18442.4,30961.9,20571.1,0,0,0,0,0
rock burst,local 12,local window 60 min,202,6157,6157,134.2,313.0,43.04,5926.9,29657.5,0,204,0,3086,75,0,104.3,659.3,1344.4,,128.3,986.4,24328.1,60602.2,21621.8,0,0,0,0,0
rock burst,local 12,local window 60 min,303,6010,6010,144.7,310.1,37.1,4926.1,27805.8,0,195,0,3103,76,1,94.5,685.9,1051.4,1051.4,131.1,940.0,16026.9,38287.5,17897.5,0,0,0,0,0
rock burst,local 12,local window 60 min,404,5744,5744,127.7,312.2,38.55,5502.6,29309.0,0,189,0,3001,63,0,69.1,177.7,576.0,,124.0,909.9,18799.3,30311.8,19956.4,0,0,0,0,0
rock burst,local 24,reference,101,5870,5870,51.8,387.2,24.0,2192.5,12862.1,0,164,0,2986,57,0,52.6,136.6,569.7,,109.5,803.9,7516.6,13512.2,7844.5,0,0,0,0,0
rock burst,local 24,reference,202,5378,5378,49.6,403.1,24.01,1894.2,10823.4,0,156,0,3086,75,0,84.9,524.3,1052.9,,96.8,689.0,6541.1,11316.4,6744.1,0,0,0,0,0
rock burst,local 24,reference,303,5233,5233,49.1,412.6,24.03,2029.4,12090.8,0,146,0,3103,76,1,76.0,250.9,856.4,856.4,100.5,727.1,6154.5,12422.9,7208.8,0,0,0,0,0
rock burst,local 24,reference,404,5143,5143,48.2,400.7,24.0,2091.1,12509.4,0,147,0,3001,63,0,53.6,141.0,494.6,,95.7,662.9,7025.3,13111.9,7402.8,0,0,0,0,0
rock burst,local 24,cloud window 0,101,5874,5874,47.5,389.9,25.21,2792.8,15624.4,0,164,0,2986,57,0,51.3,136.6,569.7,,110.9,803.9,9325.8,16066.0,10083.4,0,0,0,0,0
rock burst,local 24,cloud window 0,202,5387,5387,45.3,405.6,25.58,2480.7,13576.2,0,156,0,3086,75,0,84.7,524.3,1052.9,,98.0,689.0,8797.1,14118.2,8921.9,0,0,0,0,0
rock burst,local 24,cloud window 0,303,5379,5379,45.8,412.6,24.03,2436.6,14064.0,0,146,0,3103,76,1,77.5,295.9,856.4,856.4,102.0,727.1,7508.7,14358.2,8707.8,0,0,0,0,0
rock burst,local 24,cloud window 0,404,5185,5185,44.1,400.5,24.0,2610.5,14699.8,0,147,0,3001,63,0,54.8,144.2,494.6,,97.4,662.9,8651.5,15396.8,9309.1,0,0,0,0,0
rock burst,local 24,cloud window 15 min,101,5870,5870,64.6,386.6,24.0,858.9,5440.6,0,164,0,2986,57,0,47.6,93.8,569.7,,107.2,803.9,2533.4,6016.9,2879.2,0,0,0,0,0
rock burst,local 24,cloud window 15 min,202,5378,5378,64.1,402.2,24.01,606.1,3490.8,0,156,0,3086,75,0,84.3,524.3,1052.9,,95.6,689.0,1639.1,4339.5,1959.2,0,0,0,0,0
rock burst,local 24,cloud window 15 min,303,5233,5233,64.6,411.8,24.03,708.6,4459.0,0,146,0,3103,76,1,74.8,250.9,856.4,856.4,99.1,727.1,2022.0,4809.9,2342.1,0,0,0,0,0
rock burst,local 24,cloud window 15 min,404,5143,5143,63.0,400.0,24.0,817.8,5444.5,0,147,0,3001,63,0,52.2,132.7,494.6,,94.5,662.9,2633.1,6178.3,2724.1,0,0,0,0,0
rock burst,local 24,cloud window 30 min,101,5870,5870,81.2,386.4,24.0,302.0,1604.4,0,164,0,2986,57,0,46.3,108.8,569.7,,106.3,803.9,405.3,1253.6,799.9,0,0,0,0,0
