cloud cap,intent,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
cloud 60,"decay, restored exempt",505,1521,1885,60.3,32.6,8.72,2705.6,16447.2,5900,37,60,721,6,0,97.5,417.6,417.6,,79.5,390.7,365.0,799.0,5271.0,0,0,657,0,57
cloud 60,"decay, restored exempt",606,919,1397,62.2,29.9,6.25,1700.4,10518.9,4798,25,71,690,16,1,68.6,374.8,374.8,29.9,60.3,328.8,1218.9,11862.2,3360.0,4,0,600,0,74
cloud 60,"both, exempt",101,2643,2255,65.8,23.9,3.25,822.1,2945.3,5537,62,39,688,11,0,104.4,410.5,410.5,,116.4,644.6,756.2,3454.6,1414.7,3,6,616,101,54
cloud 60,"both, exempt",202,4692,2785,71.5,17.8,2.0,689.6,2857.6,5559,88,45,708,44,1,200.7,887.1,925.3,29.0,210.2,898.1,584.5,2033.7,1017.1,6,26,368,262,295
cloud 60,"both, exempt",303,2231,1982,68.0,20.0,2.18,558.6,1902.5,4928,39,42,685,9,0,74.2,374.7,374.7,,91.9,411.9,432.5,1894.9,932.2,1,3,622,85,49
cloud 60,"both, exempt",404,2480,1656,65.3,26.3,3.92,1005.4,4993.2,4846,47,80,701,43,0,57.5,162.4,859.5,,90.9,474.7,651.2,3449.6,1772.4,6,18,469,151,192
cloud 60,"both, exempt",505,3043,2374,76.9,19.5,2.08,629.1,2278.4,5448,66,31,721,6,0,110.0,462.6,462.6,,95.1,434.9,350.0,859.0,983.5,0,2,637,140,72
cloud 60,"both, exempt",606,1762,1739,82.6,19.5,2.0,690.5,3273.8,4401,46,28,690,16,1,83.6,434.8,434.8,29.9,73.1,385.3,316.1,1316.8,1181.2,4,7,591,75,78
cloud 200,off,101,3,3,175.9,17.7,2.0,85.0,375.3,0,3,0,688,11,0,15.7,29.6,29.6,,18.9,38.6,109.8,290.5,187.2,0,0,0,0,0
cloud 200,off,202,1009,1009,249.5,17.4,2.0,116.3,461.8,0,18,0,708,44,1,68.4,280.3,329.4,29.0,56.5,280.3,272.3,495.2,198.5,0,0,0,0,0
