day,dial,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
rock burst,horizon 30 min,202,6139,6139,152.4,295.7,35.98,3739.8,19429.9,0,204,0,3086,75,0,100.9,644.3,1337.9,,124.5,972.1,15085.5,35207.2,13518.0,0,0,0,0,0
rock burst,horizon 30 min,303,5995,5995,163.1,293.3,31.5,3244.5,18472.2,0,194,0,3103,76,1,92.7,685.9,1051.4,1051.4,127.5,935.4,10428.9,19508.5,11646.8,0,0,0,0,0
rock burst,horizon 30 min,404,5695,5695,145.2,295.7,33.44,3732.9,20378.4,0,189,0,3001,63,0,64.6,160.2,576.0,,120.3,900.2,12699.8,21032.2,13402.1,0,0,0,0,0
rock burst,horizon 60 min,101,6531,6531,154.5,284.3,24.09,2517.2,14387.9,0,210,0,2986,57,0,54.5,122.0,704.7,,138.6,1079.4,8526.3,14987.8,8944.8,0,0,0,0,0
rock burst,horizon 60 min,202,6112,6112,163.3,287.3,26.26,2432.6,13455.2,0,203,0,3086,75,0,98.3,644.3,1329.4,,122.1,971.4,8753.9,14073.2,8642.5,0,0,0,0,0
rock burst,horizon 60 min,303,5989,5989,170.6,285.1,24.06,2242.2,12906.5,0,193,0,3103,76,1,91.0,685.9,1051.4,1051.4,125.5,929.3,6946.0,13932.1,7899.2,0,0,0,0,0
rock burst,horizon 60 min,404,5685,5685,155.3,287.4,24.28,2583.3,14690.4,0,189,0,3001,63,0,61.0,145.2,561.0,,118.3,894.9,8881.9,15596.6,9136.9,0,0,0,0,0
rock burst,step 5 s,101,6717,6717,126.6,306.3,47.91,7629.3,44540.2,0,211,0,2986,57,0,60.8,158.1,704.7,,144.3,1079.4,26362.1,69221,28012.7,0,0,0,0,0
rock burst,step 5 s,202,6330,6330,135.1,308.8,47.79,7470.8,46057.1,0,204,0,3086,75,0,105.5,659.3,1344.4,,128.9,986.4,31563.5,85887.7,27323.0,0,0,0,0,0
rock burst,step 5 s,303,6011,6011,149.4,302.2,42.98,5356.8,26194.5,0,198,0,3103,76,1,97.1,685.9,1051.4,1051.4,131.7,940.0,17687.2,59437.5,19525.1,0,0,0,0,0
